show_id,director_id,actor_id
1,1,0
2,0,1
2,0,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
3,2,20
3,2,21
3,2,22
3,2,23
3,2,24
3,2,25
3,2,26
3,2,27
3,2,28
5,0,29
5,0,30
5,0,31
5,0,32
5,0,33
5,0,34
5,0,35
5,0,36
6,3,37
6,3,38
6,3,39
6,3,40
6,3,41
6,3,42
6,3,43
6,3,44
6,3,45
6,3,46
6,3,47
6,3,48
6,3,49
6,3,50
6,3,51
6,3,52
7,4,53
7,4,54
7,4,55
7,4,56
7,4,57
7,4,58
7,4,59
7,4,60
7,4,61
7,4,62
7,5,53
7,5,54
7,5,55
7,5,56
7,5,57
7,5,58
7,5,59
7,5,60
7,5,61
7,5,62
8,6,63
8,6,64
8,6,65
8,6,66
8,6,67
8,6,68
8,6,69
8,6,70
9,7,71
9,7,72
9,7,73
9,7,74
10,8,75
10,8,76
10,8,77
10,8,78
10,8,79
10,8,80
10,8,81
10,8,82
10,8,83
10,8,84
10,8,85
12,9,86
12,9,87
12,9,88
12,9,89
12,9,90
12,9,91
12,9,92
12,9,93
12,9,94
12,9,95
12,9,96
12,9,97
12,9,98
12,9,99
12,9,100
12,9,101
12,9,102
12,9,103
12,9,104
12,9,105
12,9,106
12,9,107
12,9,108
12,9,109
12,9,110
13,10,111
13,10,112
13,10,113
13,10,114
13,10,115
13,10,116
13,10,117
13,10,118
13,10,119
13,10,120
13,10,121
14,11,122
14,11,123
14,11,124
14,11,125
14,11,126
14,11,127
14,11,128
14,11,129
14,11,130
14,11,131
16,0,132
16,0,133
16,0,134
16,0,135
16,0,136
16,0,137
16,0,138
16,0,139
17,12,0
17,13,0
18,0,140
18,0,141
18,0,142
18,0,143
18,0,144
18,0,145
18,0,146
18,0,147
18,0,148
18,0,149
18,0,150
18,0,151
19,14,152
19,14,153
19,14,154
19,14,155
19,14,156
19,14,157
19,14,158
19,14,159
19,14,160
19,14,161
20,0,162
20,0,163
20,0,164
20,0,165
20,0,166
20,0,167
20,0,168
20,0,169
21,15,0
22,0,170
22,0,171
22,0,172
22,0,173
22,0,174
22,0,175
22,0,176
22,0,177
22,0,178
22,0,179
23,16,180
23,16,181
23,16,182
23,16,183
23,16,184
23,16,185
24,17,186
24,17,187
24,17,188
24,17,189
24,18,186
24,18,187
24,18,188
24,18,189
25,19,190
25,19,191
25,19,192
25,19,184
26,0,193
27,20,194
27,20,195
27,20,196
27,20,184
27,20,185
27,20,197
28,21,198
28,21,199
28,21,200
28,21,201
28,21,202
28,21,203
28,21,204
28,21,205
28,21,206
28,21,207
28,21,208
29,22,209
29,22,210
29,22,211
29,22,212
29,22,213
29,22,214
29,22,215
29,22,216
29,22,217
29,22,218
30,23,219
30,23,220
30,23,221
30,23,222
30,23,223
30,23,224
30,23,225
30,23,226
30,23,227
30,23,228
31,24,229
31,24,230
31,24,231
31,24,232
31,24,233
31,24,234
31,24,235
31,25,229
31,25,230
31,25,231
31,25,232
31,25,233
31,25,234
31,25,235
31,26,229
31,26,230
31,26,231
31,26,232
31,26,233
31,26,234
31,26,235
32,0,236
32,0,237
32,0,238
32,0,239
32,0,240
32,0,241
32,0,242
32,0,243
32,0,244
32,0,245
32,0,246
33,0,247
33,0,248
33,0,249
33,0,250
33,0,251
33,0,252
33,0,253
34,0,254
34,0,255
34,0,256
34,0,257
34,0,258
34,0,259
34,0,260
34,0,261
34,0,262
34,0,263
35,0,264
35,0,265
35,0,266
35,0,267
35,0,268
36,27,269
36,27,270
36,27,271
36,27,272
36,27,273
36,27,274
36,27,275
36,27,276
36,27,277
36,27,278
37,28,279
37,28,280
37,28,281
37,28,282
37,28,283
37,28,284
37,28,285
37,28,286
37,28,287
37,28,288
38,0,289
38,0,290
38,0,291
38,0,292
38,0,293
39,29,294
39,29,295
39,29,296
39,29,297
39,29,298
39,29,299
39,29,300
39,29,301
39,29,302
40,0,303
40,0,304
40,0,305
40,0,306
40,0,307
40,0,308
